System Name,,,Quality,,,,,,,Affordability,,,Accessiblity/Reliability,,,,,,,TMF,,,,,,Governance,,,,,,Average,
,PWSID,No MCLs or M&Rs in Last 10 Years (1 is Yes),10 Year MCLs,10 Year M&Rs,2+ MCLs in last 5 years (1) or 1 MCL (2),5 Year MCLs,3+ (1) or 1+ (2) M and R in last 5 years,5+ (1) or 1+ (2) M and R in last 5 years,5 Year M&Rs,Bill Total,% of Avg,Small System AND Production Insufficient,Jan 2017 55GPCD,July 2017 55GPCD,2017 Well Levels,2017 Projected Shortages,Primary Water Source,2013 Contaminated Groundwater,Year of Operating Ratio Listed (most recent data available),Operating Ratio,Required Operator Level,Operator Below Required,No operator,Highest Trained Operator Level (2015),Shared Operators (Y/N),Governance Code,Small or Large CWS,Distribution System Issues,News of Mismanagement or Extreme Quality Concerns,Edited OR,Year of Operating Ratio Listed (most recent data available),Average,Years
ALPINE SPRINGS MOBILE HOME PARK,CA1900942,,4,4,1,3,2,2,2,,0,1,2,1,1,1,1,0,,NA,None,,,T2,Y,6,Small,,,NA,,,
AMARILLO MUTUAL WATER COMPANY,CA1910002,,1,0,,0,,,0,,0,,2,1,1,1,1,1,2016,0.501,Any Level,,,T3,N,3,Small,,,0.501,2016,1.704043733,2014-2016
ANTELOPE PARK MUTUAL WATER COMPANY,CA1900794,1,0,0,,0,,,0,,0,,1,,1,1,1,0,2016,1.031,T1,,,T5,N,3,Small,,,1.031,2016,0.792137504,2015-2017
ANTELOPE VALLEY-EAST KERN WATER AGENCY,CA1910045,1,0,0,,0,,,0,,0,,1,1,,,2,0,2016,1.191,T5,,,T5,N,5,Large,,,1.191,2016,1.096452605,2015-2017
AQUA J MUTUAL WATER COMPANY,CA1900936,,1,2,,0,2,2,2,61,0.965189873,1,2,1,1,1,1,0,2016,0.59,None,,Yes,None,N,3,Small,,,0.59,2016,1.505340059,2014-2016
AVERYDALE MUTUAL WATER COMPANY,CA1910023,1,0,0,,0,,,0,,0,,1,1,1,1,1,1,2017,1.245,None,,,T2,N,3,Small,,,1.245,2017,0.831257385,2014-2016
AZUSA LIGHT AND WATER,CA1910007,1,0,0,,0,,,0,33.81,0.534968354,,1,1,2,2,2,2,,NA,T4,,,T5,N,1,Large,,,NA,,1.117074094,2015-2017
"BELL GARDENS-CITY, WATER DEPT.",CA1910108,1,0,0,,0,,,0,,0,,1,1,2,1,3,0,2017,1.021,,,,,,1,Large,,,1.021,2017,0.924712412,2015-2017
BELLFLOWER - SOMERSET MUTUAL WATER CO.,CA1910013,1,0,0,,0,,,0,44.35,0.701740506,,1,1,,,3,0,2016,0.886,T1,,,T3,Y,3,Large,,,0.886,2016,1.119190836,2014-2016
BELLFLOWER HOME GARDENS WATER COMPANY,CA1910012,,0,1,,0,,,0,,0,,1,1,4,1,3,0,2017,1.022,T1,,,T2,N,3,Small,,,1.022,2017,0.968502089,2015-2017
BELLFLOWER MUNICIPAL WATER SYSTEM,CA1910018,,1,0,,0,,,0,56.13,0.888132911,,1,1,,,3,0,2017,0.648,None,,,T3,Y,1,Large,,,0.648,2017,1.151862898,2015-2017
"BEVERLY HILLS-CITY, WATER DEPT",CA1910156,,1,34,,0,2,2,2,67.33,1.065348101,,,,,,3,2,2017,0.875,T4,,,T4,N,1,Large,,,0.875,2017,1.169167391,2015-2017
BLEICH FLATS MUTUAL WATER CO,CA1900075,,3,0,1,2,,,0,,0,,1,1,2,,1,0,2012,0.878,None,,,T2,Y,3,Small,,,0.878,2012,,
BLUE SKIES TRAILER PARK,CA1900055,1,0,0,,0,,,0,,0,,1,1,1,1,1,0,,NA,Unavailable,,,T2,Y,6,Small,,,NA,,,
"BURBANK-CITY, WATER DEPT",CA1910179,1,0,0,,0,,,0,52.09,0.824208861,,,,,,3,3,2017,0.884,T3,,,T4,Y,1,Large,,,0.884,2017,1.045376899,2015-2017
